45,EEM,STK,SMART,USD,EEM,0.01,2,1,\N,\N,t,TRADES,0,\N,\N
46,HIGH YIELD,STK,SMART,USD,JNK,0.01,2,1,\N,\N,t,TRADES,0,\N,\N
47,THD,STK,SMART,USD,THD,0.01,2,1,\N,\N,t,TRADES,0,\N,\N
48,,STK,ARCA,USD,PUTW,0.01,2,1,\N,\N,f,TRADES,0,\N,\N
49,,STK,SMART,USD,QYLD,0.01,2,1,\N,\N,f,TRADES,0,\N,\N
50,,STK,SMART,USD,USMV,0.01,2,1,\N,\N,f,TRADES,0,\N,\N
62,MINI RUSSELL,FUT,GLOBEX,USD,RTY,0.1,2,50,2019-12-20,2019-12-20,t,TRADES,0,\N,\N
63,,FUT,MONEP,EUR,CAC40,0.5,2,10,2019-10-18,2019-10-18,f,TRADES,0,\N,\N
64,DJ600,FUT,DTB,EUR,DJ600,0.1,2,50,2019-12-20,2019-12-20,t,TRADES,0,\N,\N
65,STOX50,FUT,DTB,EUR,ESTX50,1,0,10,2019-12-20,2019-12-20,t,TRADES,0,\N,\N
66,HSI,FUT,HKFE,HKD,HSI,1,1,50,2019-12-30,2019-12-30,t,TRADES,0,\N,\N
67,KOSPI,FUT,KSE,KRW,K200,0.05,2,250000,2019-12-12,2019-12-12,t,TRADES,0,\N,\N
68,N225,FUT,OSE.JPN,JPY,N225,10,0,1000,2019-12-12,2019-12-12,t,TRADES,0,\N,\N
69,NIFTY,FUT,SGX,USD,NIFTY,0.05,2,2,2019-11-28,2019-11-28,t,TRADES,0,\N,\N
70,ASX,FUT,SNFE,AUD,SPI,1,0,25,2019-12-19,2019-12-19,t,TRADES,0,\N,\N
71,FTSE,FUT,ICEEU,GBP,Z,0.5,1,1000,2019-12-20,2019-12-20,t,TRADES,0,\N,\N
72,SILVER,FUT,NYMEX,USD,SI,0.005,3,5000,2019-12-27,2019-11-27,t,TRADES,0,\N,\N
73,PLATINIUM,FUT,NYMEX,USD,PL,0.1,2,50,2020-01-29,2019-12-29,t,TRADES,0,\N,\N
74,,FUT,IPE,USD,COIL,0.01,2,1000,2019-10-31,2019-10-31,f,TRADES,0,\N,\N
75,GXBT,FUT,CMECRYPTO,USD,BRR,10,0,5,2019-11-29,2019-11-29,t,TRADES,0,\N,\N
76,VSTOXX,FUT,DTB,EUR,V2TX,0.05,2,100,2019-11-20,2019-11-20,t,TRADES,0,\N,\N
77,VXX,STK,SMART,USD,VXX,0.01,2,1,\N,\N,t,TRADES,0,\N,\N
78,,IND,CBOE,USD,SPX,0.09,2,50,\N,\N,f,TRADES,0,\N,\N
80,XIV,STK,SMART,USD,XIV,0.01,2,1,\N,\N,f,TRADES,0,\N,\N
81,,FUT,NYMEX,USD,MGC,0.1,2,10,2018-12-27,2018-11-27,f,TRADES,0,\N,\N
82,,FUT,NYMEX,USD,QM,0.025,4,500,2018-09-19,2018-09-19,f,TRADES,0,\N,\N
83,,FUT,DTB,EUR,DAX,1,0,5,2018-09-21,2018-09-21,f,TRADES,0,\N,\N
84,,FUT,HKFE,HKD,MHI,1,1,10,\N,\N,f,TRADES,0,\N,\N
85,,STK,SMART,USD,PBT,0.01,2,1,\N,\N,f,TRADES,0,\N,\N
86,ISH AAGG,STK,SMART,USD,AGG,0.01,2,1,\N,\N,t,TRADES,0,\N,\N
87,SPDR COM SERV,STK,SMART,USD,XLC,0.01,2,1,\N,\N,t,TRADES,0,\N,\N
88,VANG BOND,STK,SMART,USD,BND,0.01,2,1,\N,\N,t,TRADES,0,\N,\N
89,ISH CORP,STK,SMART,USD,LQD,0.01,2,1,\N,\N,t,TRADES,0,\N,\N
90,ISH TIPS,STK,SMART,USD,TIP,0.01,2,1,\N,\N,t,TRADES,0,\N,\N
91,ISH HY,STK,SMART,USD,HYG,0.01,2,1,\N,\N,t,TRADES,0,\N,\N
92,BOND MUNI,STK,SMART,USD,MUNI,0.01,2,1,\N,\N,t,TRADES,0,\N,\N
93,HOME,STK,SMART,USD,XHB,0.01,2,1,\N,\N,t,TRADES,0,\N,\N
94,AMAZON,STK,SMART,USD,AMZN,0.01,2,1,\N,\N,t,TRADES,0,\N,\N
95,,IND,CBOE,USD,SGX,0.01,2,1,\N,\N,f,TRADES,0,\N,\N
96,,IND,CBOE,USD,SVX,0.01,2,1,\N,\N,f,TRADES,0,\N,\N
97,2Y,FUT,ECBOT,USD,ZT,0.01,2,2000,2019-12-31,2019-11-30,t,TRADES,0,\N,\N
98,EURUSD,CASH,IDEALPRO,USD,EUR,0.0001,5,1,\N,\N,t,MID,1,\N,\N
99,GBPUSD,CASH,IDEALPRO,USD,GBP,0.0001,5,1,\N,\N,t,MID,1,\N,\N
100,USDCAD,CASH,IDEALPRO,CAD,USD,0.0001,5,1,\N,\N,t,MID,1,\N,\N
101,USDJPY,CASH,IDEALPRO,JPY,USD,0.01,3,100,\N,\N,t,MID,1,\N,\N
102,AUDUSD,CASH,IDEALPRO,USD,AUD,0.0001,5,1,\N,\N,t,MID,1,\N,\N
103,NZDUSD,CASH,IDEALPRO,USD,NZD,0.0001,5,1,\N,\N,t,MID,1,\N,\N
104,EURGBP,CASH,IDEALPRO,GBP,EUR,0.0001,5,1,\N,\N,t,MID,1,\N,\N
105,EURUSD,CASH,IDEALPRO,USD,EUR,0.0002,5,1,\N,\N,t,MID,2,\N,\N
106,GBPUSD,CASH,IDEALPRO,USD,GBP,0.0002,5,1,\N,\N,t,MID,2,\N,\N
107,USDCAD,CASH,IDEALPRO,CAD,USD,0.0002,5,1,\N,\N,t,MID,2,\N,\N
108,USDJPY,CASH,IDEALPRO,JPY,USD,0.02,3,100,\N,\N,t,MID,2,\N,\N
109,AUDUSD,CASH,IDEALPRO,USD,AUD,0.0002,5,1,\N,\N,t,MID,2,\N,\N
110,NZDUSD,CASH,IDEALPRO,USD,NZD,0.0002,5,1,\N,\N,t,MID,2,\N,\N
111,EURGBP,CASH,IDEALPRO,GBP,EUR,0.0002,5,1,\N,\N,t,MID,2,\N,\N
