64,t,EUR,DTB,2019-12-20,2019-12-20,TRADES,0,50,2,FUT,DJ600,0.1,DJ600
65,t,EUR,DTB,2019-12-20,2019-12-20,TRADES,0,10,0,FUT,ESTX50,1,STOX50
66,t,HKD,HKFE,2019-12-30,2019-12-30,TRADES,0,50,1,FUT,HSI,1,HSI
67,t,KRW,KSE,2019-12-12,2019-12-12,TRADES,0,250000,2,FUT,K200,0.05,KOSPI
68,t,JPY,OSE.JPN,2019-12-12,2019-12-12,TRADES,0,1000,0,FUT,N225,10,N225
69,t,USD,SGX,2019-11-28,2019-11-28,TRADES,0,2,2,FUT,NIFTY,0.05,NIFTY
70,t,AUD,SNFE,2019-12-19,2019-12-19,TRADES,0,25,0,FUT,SPI,1,ASX
71,t,GBP,ICEEU,2019-12-20,2019-12-20,TRADES,0,1000,1,FUT,Z,0.5,FTSE
72,t,USD,NYMEX,2019-12-27,2019-11-27,TRADES,0,5000,3,FUT,SI,0.005,SILVER
73,t,USD,NYMEX,2020-01-29,2019-12-29,TRADES,0,50,2,FUT,PL,0.1,PLATINIUM
74,f,USD,IPE,2019-10-31,2019-10-31,TRADES,0,1000,2,FUT,COIL,0.01,
75,t,USD,CMECRYPTO,2019-11-29,2019-11-29,TRADES,0,5,0,FUT,BRR,10,GXBT
76,t,EUR,DTB,2019-11-20,2019-11-20,TRADES,0,100,2,FUT,V2TX,0.05,VSTOXX
77,t,USD,SMART,\N,\N,TRADES,0,1,2,STK,VXX,0.01,VXX
78,f,USD,CBOE,\N,\N,TRADES,0,50,2,IND,SPX,0.09,
80,f,USD,SMART,\N,\N,TRADES,0,1,2,STK,XIV,0.01,XIV
81,f,USD,NYMEX,2018-12-27,2018-11-27,TRADES,0,10,2,FUT,MGC,0.1,
82,f,USD,NYMEX,2018-09-19,2018-09-19,TRADES,0,500,4,FUT,QM,0.025,
83,f,EUR,DTB,2018-09-21,2018-09-21,TRADES,0,5,0,FUT,DAX,1,
84,f,HKD,HKFE,\N,\N,TRADES,0,10,1,FUT,MHI,1,
85,f,USD,SMART,\N,\N,TRADES,0,1,2,STK,PBT,0.01,
86,t,USD,SMART,\N,\N,TRADES,0,1,2,STK,AGG,0.01,ISH AAGG
87,t,USD,SMART,\N,\N,TRADES,0,1,2,STK,XLC,0.01,SPDR COM SERV
88,t,USD,SMART,\N,\N,TRADES,0,1,2,STK,BND,0.01,VANG BOND
89,t,USD,SMART,\N,\N,TRADES,0,1,2,STK,LQD,0.01,ISH CORP
90,t,USD,SMART,\N,\N,TRADES,0,1,2,STK,TIP,0.01,ISH TIPS
91,t,USD,SMART,\N,\N,TRADES,0,1,2,STK,HYG,0.01,ISH HY
92,t,USD,SMART,\N,\N,TRADES,0,1,2,STK,MUNI,0.01,BOND MUNI
93,t,USD,SMART,\N,\N,TRADES,0,1,2,STK,XHB,0.01,HOME
94,t,USD,SMART,\N,\N,TRADES,0,1,2,STK,AMZN,0.01,AMAZON
95,f,USD,CBOE,\N,\N,TRADES,0,1,2,IND,SGX,0.01,
96,f,USD,CBOE,\N,\N,TRADES,0,1,2,IND,SVX,0.01,
97,t,USD,ECBOT,2019-12-31,2019-11-30,TRADES,0,2000,2,FUT,ZT,0.01,2Y
98,t,USD,IDEALPRO,\N,\N,MID,1,1,5,CASH,EUR,0.0001,EURUSD
99,t,USD,IDEALPRO,\N,\N,MID,1,1,5,CASH,GBP,0.0001,GBPUSD
100,t,CAD,IDEALPRO,\N,\N,MID,1,1,5,CASH,USD,0.0001,USDCAD
101,t,JPY,IDEALPRO,\N,\N,MID,1,100,3,CASH,USD,0.01,USDJPY
102,t,USD,IDEALPRO,\N,\N,MID,1,1,5,CASH,AUD,0.0001,AUDUSD
103,t,USD,IDEALPRO,\N,\N,MID,1,1,5,CASH,NZD,0.0001,NZDUSD
104,t,GBP,IDEALPRO,\N,\N,MID,1,1,5,CASH,EUR,0.0001,EURGBP
105,t,USD,IDEALPRO,\N,\N,MID,2,1,5,CASH,EUR,0.0002,EURUSD
106,t,USD,IDEALPRO,\N,\N,MID,2,1,5,CASH,GBP,0.0002,GBPUSD
107,t,CAD,IDEALPRO,\N,\N,MID,2,1,5,CASH,USD,0.0002,USDCAD
108,t,JPY,IDEALPRO,\N,\N,MID,2,100,3,CASH,USD,0.02,USDJPY
109,t,USD,IDEALPRO,\N,\N,MID,2,1,5,CASH,AUD,0.0002,AUDUSD
110,t,USD,IDEALPRO,\N,\N,MID,2,1,5,CASH,NZD,0.0002,NZDUSD
111,t,GBP,IDEALPRO,\N,\N,MID,2,1,5,CASH,EUR,0.0002,EURGBP
